name,image_id,confidence,xmin,ymin,xmax,ymax
scallop,000333.xml,0.95844644,1563,1332,1712,1484
scallop,000333.xml,0.9911651,2515,1719,2701,1914
scallop,000333.xml,0.9828591,1338,976,1489,1089
scallop,000333.xml,0.9968034,2177,1790,2377,1987
scallop,000333.xml,0.9357543,1991,1074,2137,1200
scallop,000333.xml,0.9541576,3142,616,3293,728
scallop,000333.xml,0.8293792,2466,1495,2625,1654
scallop,000333.xml,0.89542353,1730,1919,1910,2082
scallop,000333.xml,0.77623796,1572,1206,1720,1322
scallop,000333.xml,0.9429832,2732,664,2865,758
scallop,000333.xml,0.8997892,1493,1115,1622,1226
scallop,000333.xml,0.8390345,1450,806,1558,920
scallop,000333.xml,0.84372956,1429,719,1553,808
scallop,000333.xml,0.6886458,1515,886,1635,983
scallop,000333.xml,0.84755534,2106,890,2240,996
scallop,000333.xml,0.7754734,1229,1531,1463,1734
scallop,000333.xml,0.6570791,1135,793,1241,882
scallop,000333.xml,0.5795891,1142,1365,1308,1526
scallop,000333.xml,0.15526076,1167,691,1293,792
scallop,000333.xml,0.8135528,1174,912,1304,1017
scallop,000333.xml,0.12533742,2415,1783,2541,1911
scallop,000333.xml,0.5675727,1520,1663,1682,1816
scallop,000333.xml,0.35555956,769,905,901,1011
scallop,000333.xml,0.084523596,2780,581,2921,686
scallop,000333.xml,0.0818997,2373,663,2468,750
scallop,000333.xml,0.38339436,1604,763,1708,835
scallop,000333.xml,0.26569173,3495,304,3653,419
scallop,000333.xml,0.3414677,2563,955,2675,1027
scallop,000333.xml,0.29379103,2237,897,2385,1015
scallop,000333.xml,0.062258665,3538,1456,3781,1659
scallop,000333.xml,0.8848006,1577,1035,1708,1158
scallop,000333.xml,0.8410816,1311,1144,1444,1275
scallop,000333.xml,0.1529179,2541,1076,2681,1184
scallop,000333.xml,0.060323402,1485,1072,1667,1235
scallop,000333.xml,0.10600049,1445,735,1570,936
scallop,000333.xml,0.5933906,1956,1776,2166,1971
scallop,000333.xml,0.53334826,1924,1364,2045,1464
scallop,000333.xml,0.22066022,2289,436,2406,531
scallop,000333.xml,0.510203,3427,941,3616,1078
scallop,000333.xml,0.40637872,3686,1746,3827,1901
scallop,000333.xml,0.17601322,2155,1001,2270,1083
scallop,000333.xml,0.25459656,861,834,965,923
scallop,000333.xml,0.7033404,965,922,1073,1006
scallop,000333.xml,0.11586132,994,1303,1152,1471
scallop,000333.xml,0.59338677,448,1405,613,1547
scallop,000333.xml,0.5808746,1560,1535,1680,1647
scallop,000333.xml,0.13672432,1488,793,1576,839
scallop,000333.xml,0.14509974,1470,799,1577,862
scallop,000333.xml,0.19707015,607,813,728,910
scallop,000333.xml,0.12711428,2048,728,2167,828
scallop,000333.xml,0.064168274,760,1031,880,1157
scallop,000333.xml,0.05367847,1444,770,1573,826
starfish,000333.xml,0.99167496,2760,1202,3079,1439
starfish,000333.xml,0.98730475,2506,630,2726,800
starfish,000333.xml,0.66209406,5,1547,192,1829
holothurian,000298.xml,0.9215489,3333,1029,3838,1223
scallop,000298.xml,0.9732964,2791,1511,3103,1775
scallop,000298.xml,0.8479469,719,842,921,959
scallop,000298.xml,0.9352262,1258,624,1421,786
scallop,000298.xml,0.9394141,3491,486,3689,658
scallop,000298.xml,0.9925668,148,824,408,969
scallop,000298.xml,0.95373136,3570,629,3838,856
scallop,000298.xml,0.9586167,957,522,1136,679
scallop,000298.xml,0.99599886,2342,1087,2866,1513
scallop,000298.xml,0.9900045,1081,768,1292,928
scallop,000298.xml,0.23386621,778,900,947,973
